Senyawa1,Senyawa2,Synergy Score
Indole-3-acetic acid,Apigenin,0.035878602
Trigonelline,Oxalic acid,0.035866603
Hirsutrin,Thiamine,0.035861578
Chrysoeriol,"3',4',7-Trihydroxyflavone",0.035858472
Tanshinone II,Pregnenolone,0.035857907
Licuroside,Peucedanin,0.035849967
Oxalic acid,Chelerythrine,0.03583183
Linoleic acid,Isoliquiritigenin,0.035827523
Chrysoeriol,Indole-3-acetic acid,0.035821317
Oleic acid,beta-Monoolein,0.035818545
Serotonin,trans-Zeatin,0.035817227
Myoinositol,Kaempferol,0.035805337
Formononetin,Oxalic acid,0.035786273
Liquiritin,6-Hydroxymellein,0.035778702
Vanillin,Oxalic acid,0.035774811
Gallic acid,Quinic acid,0.035772512
Hirsutrin,Gibberellin A3,0.035765963
Glycyrrhetinic acid,Spermidine,0.035762328
3-O-Caffeoylquinic acid,Oleic acid,0.035752228
Glycyrrhetinic acid,Glycyrrhizic acid,0.035742662
Glycyrol,Adenosine,0.035737615
Myricetin,Vincamine,0.035737401
beta-Carotene,Trigonelline,0.035732229
Betulinic acid,Kaempferol,0.035729601
Myricetin,"6,8-Diprenylgenistein",0.035728099
"6,8-Diprenylgenistein",Ferruginol,0.035708924
delta-Tocopherol,Spermidine,0.035699883
Fumaric acid,Indole-3-acetic acid,0.035685511
Hirsutrin,Scopoletin,0.035676525
Thiamine,Sanguinarine,0.035675326
(R)-linalool,Cholesterol,0.035671872
Formononetin,Scopoletin,0.035666948
Gallic acid,Acetylursolic acid,0.035662585
Trigonelline,Vindoline,0.035657358
Benzoic acid,Glycyrol,0.035656007
Gallic acid,trans-Zeatin,0.035653902
Fisetin,Isoprene,0.035653354
Glycyrol,Salicylic acid,0.035625518
Acetovanillone,Chrysoeriol,0.035613612
Gallic acid,Oleanolic acid,0.035606539
Protopine,Salicylic acid,0.035594181
Quinic acid,Ferruginol,0.035592411
Myricetin,"(6S,9R)-Roseoside",0.035591713
Glycyrrhizic acid,Serotonin,0.035591125
"3',4',7-Trihydroxyflavone",Apigenin,0.035587117
Octadecanoic acid,Ajmalicine,0.035584968
Oleic acid,"6,8-Diprenylgenistein",0.035567036
3-O-Caffeoylquinic acid,Liquiritin,0.035557156
alpha-Tocopherol,Tetrahydroalstonine,0.035556147
Vanillic acid,Spermidine,0.03555386
7-Hydroxycoumarin,Fumaric acid,0.035549689
Ajmalicine,alpha-Tocopherol,0.035547788
Acetylursolic acid,Fisetin,0.035546638
alpha-Tocopherol,Berberine,0.035546534
Punicalin,(R)-linalool,0.035545993
beta-Carotene,Apigenin,0.035533556
Indole-3-acetic acid,Citric acid,0.035529708
3-O-Caffeoylquinic acid,Naringin,0.035510878
Acetylursolic acid,Tetrahydroalstonine,0.035492875
Berberine,Loganin,0.035492459
alpha-Tocopherol,Sweroside,0.035491199
Isoliquiritigenin,Betulinic acid,0.035489655
trans-Zeatin,Acetovanillone,0.035486005
Serotonin,Trigonelline,0.035478342
9-Ribosyl-trans-zeatin,Oleic acid,0.035466473
trans-Zeatin,Vincamine,0.035461392
Oleanolic acid,6-Hydroxymellein,0.035452559
Myristicin,Thiamine,0.035449886
3-O-Caffeoylquinic acid,L-Phenylalanine,0.035449865
Tanshinone I,Fumaric acid,0.035436436
Gibberellin A3,Indole-3-acetic acid,0.035414762
Fisetin,Linoleic acid,0.035413192
Oleanolic acid,"6,8-Diprenylgenistein",0.035408249
p-Coumaric acid,Quinic acid,0.035407634
Formononetin,Chelerythrine,0.035396416
beta-D-Glucosamine,Lycopene,0.035378757
(-)-Jasmonic acid,Coumarin,0.035366605
Semilicoisoflavone B,Vanillic acid,0.035366384
alpha-Tocopherol,Myoinositol,0.035353121
Protopine,(-)-Jasmonic acid,0.03535075
Liquiritin,Betulinic acid,0.035350021
Betulinic acid,3' 5'-cyclic AMP,0.035349645
Liquiritin,7-Hydroxycoumarin,0.035340486
Linoleic acid,Chelerythrine,0.035326563
L-Phenylalanine,"6,8-Diprenylgenistein",0.035319504
6-Hydroxymellein,Chelerythrine,0.035306852
delta-Tocopherol,Isoliquiritigenin,0.03530274
Labiatenic acid,Riboflavin,0.035302065
Liquiritin,alpha-Terpinene,0.035301658
Liquiritin,(+)-S-Carvone,0.035301658
4-Terpineol,Liquiritin,0.035301658
(-)-Jasmonic acid,Oleic acid,0.035293633
beta-Carotene,"Methyl 3,4,5-trihydroxybenzoate",0.035289273
Apigenin,Labiatenic acid,0.035288301
Vincristine,(-)-Jasmonic acid,0.035277149
Isoliquiritigenin,Pregnenolone,0.035275153
Vanillin,Tetrahydroalstonine,0.035260902
Apigenin,7-Hydroxycoumarin,0.035254725
Tanshinone I,Octadecanoic acid,0.035245288
Naringin,Linoleic acid,0.035229816
alpha-Terpinene,Myricetin,0.035228569
Myricetin,(+)-S-Carvone,0.035228569
4-Terpineol,Myricetin,0.035228569
Gallic acid,Isoferulic acid,0.035210576
Indole-3-acetic acid,2'-Hydroxygenistein,0.035196561
Tanshinone II,Vincamine,0.035179419
delta-Tocopherol,Ferruginol,0.035175988
Cholesterol,Hirsutrin,0.035173712
Indole-3-acetic acid,Oleic acid,0.035170517
Semilicoisoflavone B,Malic acid,0.035155882
Oleanolic acid,9-Ribosyl-trans-zeatin,0.035137937
Tanshinone I,Gibberellin A3,0.035130916
Tetrahydroalstonine,Octadecanoic acid,0.035116524
Succinic acid,Isoprene,0.035106351
3-O-Caffeoylquinic acid,2'-Hydroxygenistein,0.035093915
3' 5'-cyclic AMP,Palmitic acid,0.035089755
Citric acid,Myoinositol,0.035088741
Protopine,Coumarin,0.035084508
Acetylursolic acid,Octadecanoic acid,0.03507656
(-)-Jasmonic acid,Caffeic acid,0.035075225
Ajmalicine,Scopoletin,0.035058371
3-O-Caffeoylquinic acid,(R)-linalool,0.035053178
Thiamine,Betulinic acid,0.03502074
Betulinic acid,Octadecanoic acid,0.035010722
Naringenin,Kaempferol 3-glucuronide,0.035010203
Berberine,Citric acid,0.03499994
Oleanolic acid,Vincristine,0.034989312
alpha-Terpinene,2'-Hydroxygenistein,0.034982768
4-Terpineol,2'-Hydroxygenistein,0.034982768
(+)-S-Carvone,2'-Hydroxygenistein,0.034982768
"Methyl 3,4,5-trihydroxybenzoate",Kaempferol 3-glucuronide,0.034975424
Indole-3-acetic acid,Loganic acid,0.034972977
4-Terpineol,Myristicin,0.034961642
alpha-Terpinene,Myristicin,0.034961642
Myristicin,(+)-S-Carvone,0.034961642
Acetovanillone,Indole-3-acetic acid,0.03494855
2'-Hydroxygenistein,7-Hydroxycoumarin,0.034941933
Tanshinone I,Vincristine,0.034940577
Formononetin,Rutin,0.03493538
Pregnenolone,Thiamine,0.034935217
Sanguinarine,7-Hydroxycoumarin,0.03491898
Cholesterol,Gibberellin A3,0.034914465
Octadecanoic acid,Pregnenolone,0.034877961
trans-Zeatin,Hirsutrin,0.034870765
Loganin,Folic acid,0.034868153
Thiamine,Chelerythrine,0.034866162
7-Hydroxycoumarin,Citric acid,0.034862175
Isoferulic acid,Semilicoisoflavone B,0.034859498
Succinic acid,Spermine,0.034842019
Licuroside,Scopoletin,0.034832755
3-O-Caffeoylquinic acid,Oleanolic acid,0.034829488
Gancaonin U,Octadecanoic acid,0.034826746
Salicylic acid,Uracil,0.034816301
Quercetin,"(6S,9R)-Roseoside",0.034795249
Protopine,Caffeic acid,0.034773542
Labiatenic acid,Serotonin,0.034763888
delta-Tocopherol,Glycyrrhizic acid,0.034751113
Tetrahydroalstonine,Linoleic acid,0.034748441
Acetylursolic acid,Vindoline,0.034745033
"(6S,9R)-Roseoside",Kaempferol,0.034722752
(R)-linalool,Pregnenolone,0.034716643
Testosterone,Licuroside,0.034713512
Liquiritin,"6,8-Diprenylgenistein",0.034705031
Tryptamine,Semilicoisoflavone B,0.034699595
Naringenin,Semilicoisoflavone B,0.034691493
beta-Carotene,Isoliquiritigenin,0.034689239
Isoliquiritigenin,Acetovanillone,0.034680529
Vindoline,Formononetin,0.034670867
9-Ribosyl-trans-zeatin,Chrysoeriol,0.034669376
alpha-Tocopherol,9-Ribosyl-trans-zeatin,0.034667841
Sucrose,Vincristine,0.034667713
Kaempferol,"6,8-Diprenylgenistein",0.034663976
Vanillic acid,Isoprene,0.034661897
Gibberellin A3,7-Hydroxycoumarin,0.034661536
Acetylursolic acid,Lycopene,0.034657405
Acetylursolic acid,Tanshinone I,0.034655165
Scopoletin,Fisetin,0.03463521
Liquiritin,9-Ribosyl-trans-zeatin,0.03463115
3-O-Caffeoylquinic acid,Formononetin,0.034619154
Tanshinone I,(R)-linalool,0.034617041
Formononetin,alpha-Terpinene,0.034587546
(+)-S-Carvone,Formononetin,0.034587546
Formononetin,4-Terpineol,0.034587546
"Methyl 3,4,5-trihydroxybenzoate",Cholesterol,0.034584506
Isoferulic acid,Chelerythrine,0.034575099
Oleic acid,Protopine,0.034574355
Kaempferol 3-glucuronide,Vanillic acid,0.034566041
6-Hydroxymellein,Formononetin,0.034565272
Palmitic acid,Testosterone,0.034555786
Glycyrrhizic acid,Riboflavin,0.034549984
Isorhamnetin 3-O-beta-D-glucopyranoside,Peucedanin,0.034540264
Rutin,(R)-linalool,0.034537967
2'-Hydroxygenistein,Acetovanillone,0.034536431
9-Ribosyl-trans-zeatin,(R)-linalool,0.034530977
Formononetin,Thiamine,0.034529184
6-Hydroxymellein,Fisetin,0.034521928
Quinic acid,Semilicoisoflavone B,0.034518486
3-O-Caffeoylquinic acid,Sweroside,0.03451567
Gibberellin A3,Rutin,0.034511087
Myristicin,Vincristine,0.034509674
3' 5'-cyclic AMP,Myoinositol,0.034508429
Indole-3-acetic acid,Cryptotanshinone,0.034507376
beta-D-Glucosamine,Oleic acid,0.034502072
Isoliquiritigenin,Isoliquiritin,0.034498616
3-O-Caffeoylquinic acid,Scopoletin,0.034477002
Fisetin,Malic acid,0.034476115
3' 5'-cyclic AMP,Vincamine,0.034470631
Fumaric acid,Serotonin,0.034457732
Ajmalicine,Citric acid,0.034457595
Berberine,"Methyl 3,4,5-trihydroxybenzoate",0.034454411
Myoinositol,Myricetin,0.034444679
Glycyrrhetinic acid,Cholesterol,0.034443805
Ferruginol,beta-Carotene,0.03444224
Rutin,Betulinic acid,0.034424164
Sweroside,Tanshinone I,0.034420324
Chelerythrine,7-Hydroxycoumarin,0.03441302
Pregnenolone,Liquiritin,0.034406418
"3,4-Dihydroxybenzoic acid",Berberine,0.034397596
Quinic acid,L-Phenylalanine,0.034397063
3-O-Caffeoylquinic acid,Cryptotanshinone,0.034382793
Acetylursolic acid,Isoliquiritigenin,0.034379928
6-Hydroxymellein,Palmitic acid,0.034379219
Folic acid,Linoleic acid,0.034377928
Glycyrol,Coumarin,0.034376144
beta-Monoolein,beta-D-Glucosamine,0.034375388
p-Coumaric acid,Naringenin,0.034370045
Riboflavin,Palmitic acid,0.034368197
beta-Carotene,Myricetin,0.034366311
Fumaric acid,"(6S,9R)-Roseoside",0.034354756
"6,8-Diprenylgenistein",Tanshinone I,0.034352444
beta-Monoolein,Protopine,0.034335797
Uracil,Ellagic acid,0.034325512
Tanshinone I,Apigenin,0.034314388
Serotonin,Linoleic acid,0.034308977
Linoleic acid,Kaempferol 3-glucuronide,0.034306522
Quercetin,beta-Monoolein,0.034302628
Cryptotanshinone,delta-Tocopherol,0.034297493
beta-Monoolein,Octadecanoic acid,0.034291698
Vincamine,Kaempferol,0.034289824
Acetovanillone,7-Hydroxycoumarin,0.034289545
Pregnenolone,2'-Hydroxygenistein,0.034256865
Vanillin,Pregnenolone,0.034256378
Naringin,Pregnenolone,0.034232304
Licuroside,Spermine,0.034221456
Isoliquiritigenin,Glycyrrhizic acid,0.034219902
p-Coumaric acid,"1,3,7-Trihydroxyxanthone",0.034216764
Betulinic acid,alpha-Tocopherol,0.034214363
beta-Carotene,Coumestrol,0.034210648
Sanguinarine,beta-Monoolein,0.034207715
Adenosine,Uracil,0.034206355
Indole-3-acetic acid,Tanshinone II,0.034194417
Labiatenic acid,Kaempferol,0.034193229
Peucedanin,Cholesterol,0.034186252
Fumaric acid,Punicalin,0.034182351
Scopoletin,Pregnenolone,0.034176628
Indole-3-acetic acid,Myricetin,0.034168756
Citric acid,Guanosine,0.034167547
3-O-Caffeoylquinic acid,Tanshinone I,0.03415391
(-)-Jasmonic acid,Berberine,0.034146969
Quinic acid,Myoinositol,0.034125885
(R)-linalool,7-Hydroxycoumarin,0.034117499
delta-Tocopherol,Labiatenic acid,0.034111696
Kaempferol,Serotonin,0.034109598
Berberine,Protopine,0.034105901
6-Hydroxymellein,Cryptotanshinone,0.034091925
Hirsutrin,Myristicin,0.034091249
Coumestrol,Sucrose,0.034086987
Vitamin A,Sucrose,0.034076021
Tanshinone II,"(6S,9R)-Roseoside",0.034073404
N6-(delta2-Isopentenyl)adenine,Fumaric acid,0.034065428
(-)-Jasmonic acid,Gallic acid,0.034064525
Linoleic acid,Berberine,0.034063208
Pregnenolone,Oleic acid,0.034045419
"1,3,7-Trihydroxyxanthone",Kaempferol 3-glucuronide,0.034033662
Indole-3-acetic acid,Myristicin,0.0340313
Vitamin A,Palmitic acid,0.034029778
Palmitic acid,Glycyrrhetinic acid,0.034029563
Vanillin,N6-(delta2-Isopentenyl)adenine,0.034022102
Gallic acid,Gancaonin U,0.034019044
Vindoline,Palmitic acid,0.034013775
Vincamine,Isoliquiritigenin,0.034002832
Quinic acid,Octadecanoic acid,0.033991988
(-)-Jasmonic acid,9-Ribosyl-trans-zeatin,0.033970332
Protopine,9-Ribosyl-trans-zeatin,0.033962169
Isorhamnetin 3-O-beta-D-glucopyranoside,Tryptamine,0.03395807
Malic acid,p-Coumaric acid,0.033948292
"6,8-Diprenylgenistein",Thiamine,0.033940936
Glycyrrhetinic acid,p-Coumaric acid,0.033940228
alpha-Tocopherol,delta-Tocopherol,0.033938494
Indole-3-acetic acid,Sweroside,0.033937935
Isoferulic acid,Spermine,0.033923171
Succinic acid,Gallic acid,0.033914351
beta-Monoolein,Sucrose,0.033899338
Rutin,Berberine,0.033895122
Uracil,Caffeic acid,0.033889119
Acetylursolic acid,Spermine,0.033877987
"1,3,7-Trihydroxyxanthone",Isorhamnetin 3-O-beta-D-glucopyranoside,0.033862648
Myricetin,Semilicoisoflavone B,0.033859885
(+)-S-Carvone,Naringin,0.033856932
Naringin,alpha-Terpinene,0.033856932
4-Terpineol,Naringin,0.033856932
Sucrose,"1,3,7-Trihydroxyxanthone",0.033850862
Indole-3-acetic acid,3-O-Caffeoylquinic acid,0.033847245
Myoinositol,Tanshinone II,0.033846562
Palmitic acid,beta-Monoolein,0.033844266
Oleanolic acid,Myristicin,0.033843683
alpha-Tocopherol,Vindoline,0.033801188
7-Hydroxycoumarin,Hirsutrin,0.033794013
Quinic acid,Hirsutrin,0.033792558
Oleic acid,Fisetin,0.033776166
Palmitic acid,Vincristine,0.033775332
Apigenin,delta-Tocopherol,0.033773956
Indole-3-acetic acid,(R)-linalool,0.03377183
Vitamin A,Kaempferol 3-glucuronide,0.033769925
Salicylic acid,beta-Monoolein,0.033763089
Scopoletin,Isoliquiritin,0.033760148
"6,8-Diprenylgenistein",Spermine,0.03373688
Fumaric acid,Rutin,0.033723968
Vincamine,Citric acid,0.033719931
Sweroside,6-Hydroxymellein,0.033715521
7-Hydroxycoumarin,Cryptotanshinone,0.033709453
Spermidine,"Methyl 3,4,5-trihydroxybenzoate",0.033701345
Palmitic acid,Caffeic acid,0.033700249
9-Ribosyl-trans-zeatin,Cryptotanshinone,0.033694638
Ajmalicine,alpha-Pinene,0.033680317
Glycyrrhizic acid,Malic acid,0.033665637
Succinic acid,Sanguinarine,0.033652026
7-Hydroxycoumarin,Naringin,0.033622162
Loganin,"1,3,7-Trihydroxyxanthone",0.033614332
Myoinositol,Ferruginol,0.033613615
Licuroside,Tryptamine,0.033610667
Riboflavin,Sucrose,0.03360098
Sucrose,6-Hydroxymellein,0.033585794
Quinic acid,Chelerythrine,0.033583499
Cryptotanshinone,Pregnenolone,0.033569596
Oxalic acid,3-O-Caffeoylquinic acid,0.033567498
Glycyrrhizic acid,Cryptotanshinone,0.033566272
Betulinic acid,Sanguinarine,0.033565428
"1,3,7-Trihydroxyxanthone",Semilicoisoflavone B,0.033564992
Quercetin,Succinic acid,0.033564402
Tanshinone II,Riboflavin,0.033563756
Myristicin,7-Hydroxycoumarin,0.033524813
Gallic acid,Tanshinone I,0.033524476
Riboflavin,Trigonelline,0.033521143
Oleanolic acid,Acetovanillone,0.03351938
Labiatenic acid,Kaempferol 3-glucuronide,0.033511872
Glycyrrhetinic acid,beta-Carotene,0.033507534
Chelerythrine,Riboflavin,0.033485023
"6,8-Diprenylgenistein",alpha-Tocopherol,0.033470667
alpha-Pinene,Gancaonin U,0.033469197
Liquiritin,Acetovanillone,0.033458426
Semilicoisoflavone B,Glycyrrhetinic acid,0.033457976
Cholesterol,Tryptamine,0.033455252
Ajmalicine,Malic acid,0.033452997
Fisetin,Glycyrrhetinic acid,0.033449643
Acetovanillone,Cryptotanshinone,0.033434135
alpha-Terpinene,Succinic acid,0.03342948
(+)-S-Carvone,Succinic acid,0.03342948
4-Terpineol,Succinic acid,0.03342948
Riboflavin,Acetovanillone,0.033425073
trans-Zeatin,6-Hydroxymellein,0.033418759
Scopoletin,Punicalin,0.033408422
Indole-3-acetic acid,4-Terpineol,0.033403385
alpha-Terpinene,Indole-3-acetic acid,0.033403385
(+)-S-Carvone,Indole-3-acetic acid,0.033403385
beta-Carotene,"3,4-Dihydroxybenzoic acid",0.033397791
Isoprene,Malic acid,0.033392558
Naringin,Acetovanillone,0.033391834
Formononetin,Berberine,0.033383656
Fumaric acid,Guanosine,0.033380473
7-Hydroxycoumarin,Oleanolic acid,0.033374854
beta-Carotene,Tetrahydroalstonine,0.033373195
Formononetin,7-Hydroxycoumarin,0.033367034
N6-(delta2-Isopentenyl)adenine,Oleic acid,0.03336702
Tanshinone II,delta-Tocopherol,0.033365869
Coumarin,Uracil,0.03336512
Isorhamnetin 3-O-beta-D-glucopyranoside,Rutin,0.03335775
Apigenin,Pregnenolone,0.033354748
Fumaric acid,Myoinositol,0.033340188
Kaempferol 3-glucuronide,N6-(delta2-Isopentenyl)adenine,0.03333392
Peucedanin,Glycyrol,0.033317824
"6,8-Diprenylgenistein",Citric acid,0.033316506
Loganin,Peucedanin,0.033306472
Chrysoeriol,N6-(delta2-Isopentenyl)adenine,0.033304157
Salicylic acid,Sucrose,0.033295551
9-Ribosyl-trans-zeatin,Naringin,0.033277479
Pregnenolone,Vincristine,0.033275464
Fisetin,7-Hydroxycoumarin,0.033274223
Apigenin,"6,8-Diprenylgenistein",0.033267624
beta-Carotene,Acetylursolic acid,0.033267163
Gibberellin A3,Myoinositol,0.033261659
9-Ribosyl-trans-zeatin,2'-Hydroxygenistein,0.033254187
beta-Monoolein,Gallic acid,0.033254082
Myricetin,p-Coumaric acid,0.033244506
Licuroside,Labiatenic acid,0.033224361
Glycyrrhizic acid,Kaempferol,0.033219028
Riboflavin,2'-Hydroxygenistein,0.033211587
3-O-Caffeoylquinic acid,Acetovanillone,0.033202902
Cholesterol,delta-Tocopherol,0.033192561
Isoliquiritigenin,Myoinositol,0.033188783
"(6S,9R)-Roseoside",Citric acid,0.033182445
Scopoletin,Myristicin,0.033179048
Malic acid,beta-Carotene,0.033177177
Sanguinarine,Pregnenolone,0.033170486
Sigmoidin B,Fisetin,0.033160091
Betulinic acid,Fumaric acid,0.033151371
Glycyrol,"Methyl 3,4,5-trihydroxybenzoate",0.03315038
Vanillic acid,Berberine,0.033148365
Berberine,Malic acid,0.033128952
2'-Hydroxygenistein,Vincamine,0.033123892
Oleanolic acid,Tetrahydroalstonine,0.033116333
Myricetin,delta-Tocopherol,0.033113422
Testosterone,Tetrahydroalstonine,0.033113067
Formononetin,Riboflavin,0.033098864
Scopoletin,7-Hydroxycoumarin,0.033098485
Kaempferol,Kaempferol 3-glucuronide,0.033090698
Acetylursolic acid,Liquiritin,0.033087711
Indole-3-acetic acid,trans-Zeatin,0.033085873
Fisetin,Chrysoeriol,0.033077866
Succinic acid,Linoleic acid,0.033073807
Adenosine,(-)-Jasmonic acid,0.03307251
Serotonin,"3,4-Dihydroxybenzoic acid",0.033071191
"3,4-Dihydroxybenzoic acid",Spermidine,0.033067743
Gibberellin A3,Betulinic acid,0.033062435
N6-(delta2-Isopentenyl)adenine,Isoliquiritigenin,0.033046272
Kaempferol,p-Coumaric acid,0.033045447
delta-Tocopherol,Berberine,0.033045158
Thiamine,Myoinositol,0.0330423
Cryptotanshinone,N6-(delta2-Isopentenyl)adenine,0.033039879
Tanshinone I,Tetrahydroalstonine,0.033038779
"(6S,9R)-Roseoside",Thiamine,0.033030683
(R)-linalool,Tetrahydroalstonine,0.033016738
3-O-Caffeoylquinic acid,7-Hydroxycoumarin,0.033008736
Gallic acid,Thiamine,0.033004576
Oxalic acid,Isoferulic acid,0.03299126
Naringenin,Palmitic acid,0.032988661
Sanguinarine,Myoinositol,0.032982717
alpha-Pinene,7-Hydroxycoumarin,0.032967211
Vanillic acid,Glycyrrhizic acid,0.032966001
Liquiritin,"(6S,9R)-Roseoside",0.03295992
Tryptamine,(-)-Jasmonic acid,0.032956333
Thiamine,Acetovanillone,0.032935537
Formononetin,Sweroside,0.032933807
Pregnenolone,Chrysoeriol,0.032926199
Isorhamnetin 3-O-beta-D-glucopyranoside,Ferruginol,0.032913605
Scopoletin,p-Coumaric acid,0.032902058
Tanshinone I,Sanguinarine,0.032895606
Linoleic acid,Formononetin,0.032892216
Vanillic acid,Ajmalicine,0.032892182
Betulinic acid,Scopoletin,0.032888392
Glycyrrhizic acid,Naringin,0.03288827
Glycyrrhizic acid,Vitamin A,0.032886322
Rutin,N6-(delta2-Isopentenyl)adenine,0.032876725
Vanillic acid,beta-Carotene,0.032867017
Coumestrol,Licuroside,0.032860405
Ajmalicine,Vitamin A,0.032856632
Folic acid,Glycyrol,0.032844117
6-Hydroxymellein,Rutin,0.032833839
Cholesterol,Chelerythrine,0.032830194
3' 5'-cyclic AMP,beta-Monoolein,0.032798849
Oleanolic acid,alpha-Terpinene,0.032774588
4-Terpineol,Oleanolic acid,0.032774588
(+)-S-Carvone,Oleanolic acid,0.032774588
Tanshinone I,9-Ribosyl-trans-zeatin,0.032772677
Vincamine,Fumaric acid,0.032763723
Protopine,Adenosine,0.032762551
Testosterone,Uracil,0.032748751
Myoinositol,(R)-linalool,0.032747304
"6,8-Diprenylgenistein",Labiatenic acid,0.032746457
Betulinic acid,Gallic acid,0.032735382
Licuroside,"3,4-Dihydroxybenzoic acid",0.032724781
Isoliquiritin,Oleanolic acid,0.032719825
Sucrose,Oestrone,0.032714529
Tanshinone II,N6-(delta2-Isopentenyl)adenine,0.032713751
7-Hydroxycoumarin,Lycopene,0.032712901
Apigenin,Palmitic acid,0.032709792
Fisetin,Cryptotanshinone,0.032697473
Myristicin,Vindoline,0.032696473
"(6S,9R)-Roseoside",Isoliquiritigenin,0.032693899
Loganin,Tryptamine,0.032689618
Vincristine,Protopine,0.032681499
Octadecanoic acid,Myoinositol,0.032672186
Gibberellin A3,Punicalin,0.032667187
"3,4-Dihydroxybenzoic acid",Glycyrol,0.032656865
Glycyrol,Trigonelline,0.032651236
"(6S,9R)-Roseoside",Gibberellin A3,0.032646984
Licuroside,Sweroside,0.03262765
Punicalin,Myristicin,0.032624441
Rutin,Thiamine,0.032623536
9-Ribosyl-trans-zeatin,Scopoletin,0.032621731
Vanillin,"(6S,9R)-Roseoside",0.032621258
Sweroside,Isoferulic acid,0.032616626
Chelerythrine,Isoprene,0.032615511
delta-Tocopherol,Citric acid,0.032612666
beta-D-Glucosamine,Citric acid,0.032611484
Vincamine,Cryptotanshinone,0.032603074
Betulinic acid,Acetylursolic acid,0.032601602
Protopine,Tryptamine,0.032593619
7-Hydroxycoumarin,Tanshinone I,0.032590242
Gibberellin A3,N6-(delta2-Isopentenyl)adenine,0.032587406
Vincamine,Naringin,0.032580502
Mitraphylline,Benzoic acid,0.032580065
trans-Zeatin,Tetrahydroalstonine,0.0325749
Scopoletin,"6,8-Diprenylgenistein",0.032573974
Liquiritin,Linoleic acid,0.032565436
Formononetin,Myristicin,0.032540646
Trigonelline,Spermidine,0.032513177
Glycyrol,Oestrone,0.032510086
Vanillin,p-Coumaric acid,0.032501674
Formononetin,Ajmalicine,0.032477835
"(6S,9R)-Roseoside",3' 5'-cyclic AMP,0.032470853
Hirsutrin,Echinatin,0.032463853
(R)-linalool,Betulinic acid,0.032457845
Cholesterol,Malic acid,0.032455436
Berberine,Hirsutrin,0.032454212
"1,3,7-Trihydroxyxanthone",Licuroside,0.032446805
Palmitic acid,Peucedanin,0.032441829
Liquiritin,Vincamine,0.03243627
Spermidine,beta-D-Glucosamine,0.032435809
3-O-Caffeoylquinic acid,Chelerythrine,0.03243466
Glycyrol,Vitamin A,0.032434307
Liquiritin,Myoinositol,0.0324312
Kaempferol,Semilicoisoflavone B,0.032413149
p-Coumaric acid,Tanshinone II,0.032410066
Myoinositol,Scopoletin,0.032396868
Vanillic acid,Glycyrol,0.032394757
Vitamin A,Uracil,0.032394505
Myricetin,Linoleic acid,0.032390825
Ajmalicine,Labiatenic acid,0.032383685
3' 5'-cyclic AMP,"6,8-Diprenylgenistein",0.03238135
Myoinositol,L-Phenylalanine,0.032369465
Betulinic acid,Glycyrrhizic acid,0.032366611
Caffeic acid,Mitraphylline,0.032360082
Isoprene,"Methyl 3,4,5-trihydroxybenzoate",0.032348606
Chrysoeriol,delta-Tocopherol,0.03234691
3-O-Caffeoylquinic acid,Chrysoeriol,0.032330432
6-Hydroxymellein,Vindoline,0.032330128
Myoinositol,2'-Hydroxygenistein,0.032329374
Myristicin,Pregnenolone,0.032329367
Betulinic acid,Isoprene,0.032314709
Myoinositol,Vanillin,0.032301942
Ajmalicine,"Methyl 3,4,5-trihydroxybenzoate",0.03230185
beta-Carotene,Linoleic acid,0.032295397
Coumestrol,Glycyrol,0.032294386
Hirsutrin,(-)-Jasmonic acid,0.032289949
Citric acid,Cholesterol,0.032287514
Isoferulic acid,Vincristine,0.0322787
Hirsutrin,Protopine,0.032278189
Liquiritin,Indole-3-acetic acid,0.032273014
Liquiritin,Riboflavin,0.032271673
Pregnenolone,(+)-S-Carvone,0.032268387
4-Terpineol,Pregnenolone,0.032268387
Pregnenolone,alpha-Terpinene,0.032268387
Palmitic acid,Tryptamine,0.032261483
Vincristine,beta-Monoolein,0.032257247
Myoinositol,Naringin,0.032253513
Oleic acid,delta-Tocopherol,0.032216726
Thiamine,Vincristine,0.03221141
Formononetin,Oleanolic acid,0.032193526
Tanshinone II,9-Ribosyl-trans-zeatin,0.03218752
Pregnenolone,3-O-Caffeoylquinic acid,0.032185187
Acetylursolic acid,3' 5'-cyclic AMP,0.032184265
Phaseollidin,Naringenin,0.032170374
Vanillin,Vincamine,0.03216232
Sweroside,Thiamine,0.032160018
Glycyrrhizic acid,Apigenin,0.032156791
Testosterone,Glycyrol,0.03215188
Rutin,Sucrose,0.032149672
beta-Monoolein,Coumarin,0.032139892
Gibberellin A3,Guanosine,0.032137352
Spermidine,Malic acid,0.03213593
2'-Hydroxygenistein,"(6S,9R)-Roseoside",0.032127318
Myristicin,Tanshinone I,0.032126367
Myristicin,3-O-Caffeoylquinic acid,0.032106431
Gibberellin A3,Vincamine,0.032104594
Semilicoisoflavone B,Tanshinone II,0.032082337
Fisetin,Vanillin,0.032043222
"3,4-Dihydroxybenzoic acid",Ajmalicine,0.032036135
Licuroside,Malic acid,0.032025995
Tanshinone II,Fisetin,0.03201446
Naringin,Serotonin,0.032011713
alpha-Pinene,Isoferulic acid,0.031998583
Citric acid,p-Coumaric acid,0.031998129
Labiatenic acid,Formononetin,0.031990697
Betulinic acid,Apigenin,0.031979593
